add-none,12,1000,24000,676000,28,61
add-none,12,10000,240000,4866000,20,-2818
add-none,12,100000,2400000,29256000,12,5948
add-yield-none,2,10,40,571000,14275,0
add-yield-none,2,20,80,182000,2275,0
add-yield-none,2,40,160,186000,1162,0
add-yield-none,2,80,320,1076000,3362,0
add-yield-none,2,100,400,645000,1612,0
add-yield-none,2,1000,4000,1188000,297,-13
add-yield-none,2,10000,40000,15073000,376,-245
add-yield-none,2,100000,400000,197378000,493,171
add-yield-none,4,10,80,229000,2862,0
add-yield-none,4,20,160,275000,1718,0
add-yield-none,4,40,320,328000,1025,1
add-yield-none,4,80,640,289000,451,-7
add-yield-none,4,100,800,1216000,1520,4
add-yield-none,4,1000,8000,6784000,848,13
add-yield-none,4,10000,80000,46424000,580,-252
add-yield-none,4,100000,800000,510974000,638,-860
add-yield-none,8,10,160,439000,2743,5
add-yield-none,8,20,320,537000,1678,3
add-yield-none,8,40,640,988000,1543,-4
add-yield-none,8,80,1280,1993000,1557,2
add-yield-none,8,100,1600,2114000,1321,12
add-yield-none,8,1000,16000,21678000,1354,-55
add-yield-none,8,10000,160000,488569000,3053,-48
add-yield-none,8,100000,1600000,1988049000,1242,-1671
add-yield-none,12,10,240,776000,3233,4
add-yield-none,12,20,480,770000,1604,7
add-yield-none,12,40,960,1434000,1493,5
add-yield-none,12,80,1920,2447000,1274,-3
add-yield-none,12,100,2400,3457000,1440,-4
add-yield-none,12,1000,24000,27985000,1166,-10
add-yield-none,12,10000,240000,277820000,1157,-1
add-none,1,100,200,102000,510,0
add-none,1,1000,2000,113000,56,0
add-none,1,10000,20000,223000,11,0
add-none,1,100000,200000,1687000,8,0
add-none,2,100,400,132000,330,0
add-none,2,1000,4000,121000,30,65
add-none,2,10000,40000,618000,15,-1041
add-none,2,100000,400000,10606000,26,39450
add-none,4,100,800,525000,656,0
add-none,4,1000,8000,809000,101,-110
add-none,4,10000,80000,1163000,14,1261
add-none,4,100000,800000,9383000,11,-35913
add-none,8,100,1600,402000,251,0
